Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
artillery_shell_factory;Artillery Shell Factory;;;;;;;;;;;;;
artillery_shell_factory_desc;Thing goes into cannon and makes big boom!;;;;;;;;;;;;;
artillery_ammunition_production;Artillery Ammunition Production;;;;;;;;;;;;;
assimilation_focus;Assimilate Minorities;;;;;;;;;;;;;
afghan_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
austrian_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
turkish_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
ottoman_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
russian_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
qing_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
french_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
mexican_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
ngf_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
persian_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
japan_ai_tariffs_desc;This decision is for the AI, don't click it if you aren't the AI.;;;;;;;;;;;;;
major_port;Major Port;;;;;;;;;;;;;
qing_pacifism;Qing Pacifism;;;;;;;;;;;;;
qing_pacifism_desc;The Qing Empire has a backward economy that cannot sustain a large military spending.;;;;;;;;;;;;;
EVENTNAME602001;New Trading Port!;;;;;;;;;;;;;
EVENTDESC602001;A new port has been built in our country, it will surely attract trade and people.;;;;;;;;;;;;;
EVTOPTA602001;Hurray!;;;;;;;;;;;;;
trading_port;Change RGO;;;;;;;;;;;;;
education_policy;Education Policy;;;;;;;;;;;;;
discriminatory_education;Discriminatory;;;;;;;;;;;;;
discriminatory_education_desc;Education that only allows teaching in the accepted languages of our country, and discriminates against poor people.;;;;;;;;;;;;;
inclusive_education;Multilingual;;;;;;;;;;;;;
inclusive_education_desc;Every person is granted the right to study in their own language. Class discrimination is also rooted out of the school system.;;;;;;;;;;;;;
minor_union_member;Minor Union Member;;;;;;;;;;;;;
minor_union_member_desc;This country is a non-leading member of a union.;;;;;;;;;;;;;
EVENTNAME602002;End Of The Compromise;;;;;;;;;;;;;
EVENTDESC602002;The Austro-Hungarian Compromise comes to an end, as Hungary is no longer part of the union.;;;;;;;;;;;;;
EVTOPTA602002;Dark times are coming.;;;;;;;;;;;;;
EVTOPTB602002;Long live Hungary!;;;;;;;;;;;;;
EVENTNAME602003;The Austro-Hungarian Compromise;;;;;;;;;;;;;
EVENTDESC602003;With Germany and Italy unifying, the Habsburg dominated lands were also in need of urgent reform. Therefore, the Austrian government in Vienna decided upon giving Autonomy to the Hungarian Crownlands.;;;;;;;;;;;;;
EVTOPTA602003;Long live Austria!;;;;;;;;;;;;;
EVTOPTB602003;Long live Hungary!;;;;;;;;;;;;;
EVENTNAME602101;Grudge of the Hungarian Nobles;;;;;;;;;;;;;
EVENTDESC602101;Hungarian nobles are still angry about the abolishion of The Kingdom of Hungary. They would still like to claim the lands that were once under the crow of Saint Stephen as their own. This will likely continue, unless we do something about it.;;;;;;;;;;;;;
